Question,Answer
"What is turret plating and its impact?","Early game turret defenses that provide gold when destroyed."
"Who is GorillA?","GorillA is a retired support player known for synergy with PraY."
"What is freezing in lane management?","Keeping the minion wave near your turret to deny enemy farm."
"Who is Huni?","Huni is a retired top laner who played in the LCK and internationally."
"What are objective bounties?","Extra gold given to teams that are behind when securing objectives."
"Who is Mystic?","Mystic is a professional AD carry known for his time with Afreeca Freecs."
"What is team synergy?","The effectiveness of a team's coordination during gameplay."
"Who is Flame?","Flame is a retired top laner known for his 'Flame Horizon' achievement."
"What is lane priority?","Control over the lane, allowing rotations and objective control."
"Who is Crown?","Crown is a retired mid laner who won Worlds with Samsung Galaxy."
"What is scaling in League of Legends?","How a champion becomes stronger as the game progresses."
"Who is Nuguri?","Nuguri is a professional top laner known for aggressive play with DWG KIA."
"What is counter picking?","Choosing champions that have advantages over opponents' picks."
"Who is CoreJJ?","CoreJJ is a support player who played in the LCK and currently plays in the LCS."
"What is a hyper carry?","A champion that becomes extremely powerful in the late game."
"Who is Fly?","Fly is a mid laner who has played for various LCK teams."
"What is roaming?","Leaving one's lane to assist teammates in other lanes."
"Who is Spirit?","Spirit is a retired jungler known for his time with Afreeca Freecs."
"What is pick composition?","A team strategy focusing on isolating and eliminating targets."
"Who is Kramer?","Kramer is an AD carry who has played in both the LCK and LPL."
"What is zoning?","Controlling areas to deny enemy access."
"Who is Ucal?","Ucal is a mid laner who has played for KT Rolster."
"What is KDA?","Kills, Deaths, Assists ratio measuring player performance."
"Who is OnFleek?","OnFleek is a jungler known for aggressive play."
"What is a laning matchup?","How two champions fare against each other in lane."
"Who is Leo?","Leo is an AD carry who has played for T1."
"What is teamfight composition?","A strategy focusing on five-versus-five engagements."
"Who is Nova?","Nova is a support player in the LCK."
"What is map control?","Dominance over the game's geography for awareness and objectives."
"Who is Justice?","Justice is a mid laner who has played in the LCK."
"What is split push composition?","A strategy focusing on side lane pressure."
"Who is Zzus?","Zzus is a support player in the LCK."
"What is aggro management?","Controlling the attention of enemy minions or turrets."
"Who is Irove?","Irove is a support player in the LCK."
"What is wave clear?","The ability to quickly eliminate minion waves."
"Who is Cover?","Cover is a mid laner who has played in the LCK."
"What is a dive in League of Legends?","Attacking enemies under their turret, requiring coordination."
"Who is Haru?","Haru is a jungler known for his time with Samsung Galaxy."
"What is kiting?","Attacking while maintaining distance from the enemy."
"Who is Punch?","Punch is a jungler in the LCK."
"What is burst damage?","High damage dealt in a short period."
"Who is Roach?","Roach is a top laner in the LCK."
"What is snowballing?","Gaining an early advantage and increasing it over time."
"Who is Tempt?","Tempt is a mid laner who has played in the LCK."
"What is hard engage?","Initiating fights aggressively with crowd control."
"Who is UmTi?","UmTi is a jungler in the LCK."
"What is siege composition?","A strategy focusing on taking down enemy structures."
"What is rotation in League of Legends?","Moving around the map to apply pressure."
"Who is Lava?","Lava is a mid laner in the LCK."
"What is vision denial?","Removing enemy wards to limit their map awareness."
"Who is Malrang?","Malrang is a jungler who has played in the LCK and LEC."
"What is scaling composition?","A team strategy focusing on champions that become stronger over time."
"Who is Kuzan?","Kuzan is a mid laner in the LCK."
"What is disengage?","Abilities and strategies used to exit unfavorable fights."
"Who is Kellin?","Kellin is a support player in the LCK."
"What is a front-to-back teamfight?","Engaging starting with the frontline and progressing to the backline."
"Who is HyBriD?","HyBriD is an AD carry in the LCK."
"What is mental fortitude in competitive play?","Psychological resilience to perform under pressure."
"Who is Jelly?","Jelly is a support player in the LCK."
"What is side lane pressure?","Applying pressure on side lanes to force enemy responses."
"What is cooldown management?","Strategically using abilities considering their cooldowns."
"Who is Moojin?","Moojin is a jungler who has played in the LMS and LCK."
"What is outscale?","When a team's champions become stronger than the opponents' in the late game."
"Who is Sangyoon?","Sangyoon is a retired AD carry from the LCK."
"What is objective rush?","Quickly securing an objective before the enemy can respond."
"Who is Pilot?","Pilot is an AD carry who has played in the LCK."
"What is invading in League of Legends?","Entering the enemy jungle to disrupt or steal resources."
"Who is Totoro?","Totoro is a support player in the LCK."
"What is vision control?","Dominating ward placement for map awareness."
"What is juking?","Dodging enemy abilities through unpredictable movements."
"Who is Mightybear?","Mightybear is a jungler who has played in the LCK."
"What is a skill shot?","An ability that requires precise aiming to hit the target."
"Who is Reiz?","Reiz is a mid laner who has played in the LCK."
"What is micro play?","Individual mechanical skill and decision-making of a player."
